category,word,sentence
visual,focused,"Like two bull Elk, they were each so focused on pushing the other back that they had forgotten anyone else existed."
visual,focused,"While the previous two points focused at the macro level and the overall costs of war, I speak here of consumers' perspective on war."
visual,focused,"Brandon focused his attention on the food in his plate, his face turning a dark shade of red."
visual,focused,"Her attention shifted to her hands, and he stared at her as she focused on moving them."
visual,focused,"Her forehead rested in the nape of his neck, and she focused on the steady, slow rhythm of his heartbeat."
visual,focused,"Even within this focused study, there may still be room for multiple concentration areas, and there will usually be a few required classes focusing on methods and theories."
visual,focused,"Jade focused on another part of the ocean, Challenger Deep, the deepest part of the Pacific Ocean."
visual,dawn,It was evening in our world but dawn here.
visual,dawn,The dawn brought cool air and dense fog.
visual,dawn,"Just before dawn, she made herself soup and turned a box of cornmeal into bread."
visual,dawn,"An hour before dawn, the alarms wailed."
visual,dawn,"The snow began falling before dawn, drifting down with an urgency that heralded a serious accumulation."
visual,dawn,"Dawn must be getting close, because she had never seen things darker than they were right now."
visual,dawn,By dawn she was awake again - ready to get started.
visual,dawn,I love to sit out on the patio at dawn and watch the rising of the sun.
visual,dawn,"Judging by the first appearance of light in the sky, I was certain that dawn had arrived."
visual,dawn,"I stayed up until dawn waiting for Craig to walk through the door, but he never did."
visual,dawn,"At the first appearance of dawn, the robbers slid away, making sure to cover their tracks so that they would not get caught."
visual,dawn,"It was just after dawn, and the fortress was silent."
visual,dawn,Waited for the day to dawn
visual,dawn,"The next morning, he woke before dawn and before she did."
visual,dawn,"He pretends to drown, sleeps on the beach for a few hours, and about dawn pedals off into the sunrise."
visual,dawn,At dawn next day Pierre was approaching Mozhaysk.
visual,dawn,She woke to a cool dawn.
visual,dawn,The darkest hour is just before the dawn.
visual,dawn,Invitations by Dawn has a lovely selection of fall wedding invitations.
visual,reveal,I can't reveal my source.
visual,reveal,I threatened to reveal his secret.
visual,reveal,He was reluctant to reveal what he really meant.
visual,reveal,A recent survey reveals that the population density in the metropolis is decreasing.
visual,reveal,"If you really can find Others, you must reveal their locations to me."
visual,reveal,I trusted Brennan sufficiently to reveal Julie's identity and the burglary.
visual,reveal,"They hovered through the air, at last reaching one of the ships, where a doorway yawned open to reveal the damp yellow light and grey corridors beyond."
visual,reveal,She grabbed the front of the shirt and jerked the snaps open to reveal the swimwear.
visual,reveal,"Hannah.s bedroom was quiet, the bed neatly made and her closet door open to reveal a large empty space."
visual,reveal,She held up her arm to reveal the black cuff.
visual,reveal,"She suspected he was one step ahead, but she wasn't expecting him to reveal his plan."
visual,reveal,"The book exists for us, perchance, which will explain our miracles and reveal new ones."
visual,reveal,The top slid open to reveal a tire patch kit containing two small patches and a tube of sealing adhesive.
visual,reveal,A sweep through the barn failed to reveal any imminent births.
visual,reveal,"He wore black pants that hugged his lower body to reveal the lean hips and long, muscular legs."
visual,reveal,"As Darian suspected, the small creature was unwilling to reveal its true intentions."
visual,reveal,She sighed and sat up straight a second before the door was pushed open to reveal someone she didn't know.
visual,reveal,Kiera raised the arm of her sweatshirt to reveal the band she already wore.
visual,reveal,Her vision cleared to reveal she now stood in a luxurious living room with several people in front of her displaying varying levels of alarm on their faces.
visual,reveal,The moon is slowly revolving to reveal its hidden face.
visual,illuminate,She opened the single wardrobe pushing the doors open enough for the rooms light to illuminate the contents
visual,illuminate,In such instruments an arrangement is often required to intensely illuminate the object
visual,illuminate,From 5000 citizens were obliged to hang out candles between certain hours on dark nights to illuminate the streets
visual,illuminate,Just like traditional deck light fixtures solar lights can be used to illuminate your deck area with soft light but instead of cords and electrical power sources these lights are powered by the suns energy
visual,illuminate,Torch lights illuminate from a different level than the ground lighting
visual,illuminate,You may think that your cameras flash will aid in taking stellar shots of fireworks but it is unlikely that a builtin flash or even an addon will be powerful enough to further illuminate the night sky
visual,illuminate,This will illuminate all of the infrared LEDs
visual,illuminate,After the sun sets lights mounted in the hull of the vessel illuminate the reef and offer the opportunity to view the islands nocturnal sea life including Konas famous manta rays
visual,illuminate,In both low and linevoltage systems the voltage is carried along the track where the individual light heads tap into the circuit to supply the light bulb with the power it needs to illuminate
visual,illuminate,Serum Formulated to even out smooth and even illuminate dull complexions serums are rich formulations that can be doubled with moisturizers for an even more aggressive treatment
visual,illuminate,With different types of fixtures to go with this type of light including pendants and directional spot lighting curved or straight rails track lighting can even be used to illuminate architectural details and artwork
visual,illuminate,There is always the possibility that you havent yet met the one that lone individual who will somehow see past your weaknesses and character deficiencies and gently illuminate the better aspects of your being
visual,illuminate,illuminate any one mirror
visual,illuminate,The light did nothing to illuminate the
visual,illuminate,On the functional side are products that cover conceal illuminate and much more
visual,illuminate,You can use it to illuminate work areas like over the sink stove or island where you prepare food or read a recipe
visual,illuminate,wattage of bulb for the area you wish to illuminate
visual,illuminate,You need enough lighting to easily maneuver around after the sun has gone down and enough light to illuminate people approaching the house
visual,illuminate,Each type is uniquely suited for a particular use and different types can be combined to illuminate a single yard
visual,illuminate,He absorbed intensely but when called upon to illuminate in turn was found wanting
visual,illuminate,Consider using red hots or gummy candies as Christmas tree lights edible glitter to illuminate light strands or pullandpeel licorice to wrap tasty presents
visual,illuminate,Lights out of the water can be a practical way to illuminate a path or produce visual interest in the garden at night
visual,illuminate,Use spotlights and track lighting to illuminate dark shadowy corners and hang pendant lights over seating areas to provide appropriate task lighting
visual,illuminate,Cystoscopy looking into the bladder with a thin telescopelike instrument and x rays with a contrast agent to illuminate the urinary system will usually identify the defect
visual,illuminate,Aladdin oil burning lamps illuminate without the use of electricity
visual,illuminate,sociology of scientific knowledge can illuminate a passage of scientific history
visual,illuminate,Some monitors also have lights which illuminate when any sound is picked up
visual,illuminate,However there are some nice products on the market that can help to illuminate hydrate and plump up the area around the eye
visual,illuminate,Back then Longley and Martin used cameras encased in waterproof housing and multiple pounds of highly explosive magnesium flash powder to illuminate their underwater environment
visual,illuminate,Illuminate the hardtoreach corners of your kitchen or office with undercabinet lights
visual,illuminate,When planning your track lighting installation remember that the fixtures can be adjusted to illuminate different areas of the space but cant be turned off independently
visual,illuminate,Whether you are looking to illuminate the interior or exterior of your home you will be sure to find a functional light fixture that best compliments your home style and décor
visual,illuminate,What little daylight penetrated the front room completely failed to illuminate this inner sanctum
visual,illuminate,Track lights also work well in hallways where they can be focused to illuminate wall art
visual,illuminate,Temporary lights illuminate the corners as we round the mezzanine balcony with its carved wooden balustrade
visual,illuminate,classic novels which illuminate the dilemma further
visual,illuminate,True or not such a theory doesnt explain or illuminate the marvel of literary creation that is Falstaff
visual,illuminate,In this mode the camera fires a fillin flash to illuminate your subject and give you balanced lighting
visual,illuminate,illuminate simple obstruct most of the light in the cone leaving just the edge of light cone still illuminating the specimen
visual,illuminate,Among her own experiences she slips extracts from classic novels which illuminate the dilemma further
visual,illuminate,The head f is a switch which enables the observer to illuminate lamp a or c at pleasure
visual,illuminate,The miracle and the doctrine mutually illuminate one another
visual,illuminate,His chief apostle in England was Christopher Vitel a native of Delft an illuminate elder living at Colchester and Southwark who ultimately recanted
visual,illuminate,Light to illuminate the vernier and circle is thrown from the lamp i
visual,illuminate,For this mirror to illuminate all the points of the objective so that the rays fill up the objective it must not be too small and should be as near as possible to the stage plate and the source of light must be considerably extended fig
visual,illuminate,I have tried to show how the sociology of scientific knowledge can illuminate a passage of scientific history
visual,illuminate,Budgeting Budgeting helps you track your finances carefully and can illuminate strengths and weaknesses in your financial prospects
visual,illuminate,Dont over illuminate It is very tempting to significantly increase the bulb wattage in many of the designs
visual,illuminate,Track lighting can help to illuminate an entire wall surface or adjust the track heads individually to direct light where needed
visual,illuminate,Just as under cabinet lighting helps to light your work space along the counter island lighting help to illuminate your work space there
visual,illuminate,Things like sconces and floor lamps can illuminate a room from different angles to provide better lighting
visual,illuminate,You can use this allinonetube to illuminate the face or to give cheeks the natural glow none of us ever manages to produce naturally
visual,illuminate,An overhead bathroom or bedroom light does little to fully illuminate the intricate features of the face and can cause poor makeup application
visual,illuminate,This casts a slightly greytoned glow on the skin while still allowing some shimmer to illuminate
visual,illuminate,Your best option is to disable your cameras flash and use natural light sources to illuminate your shots
visual,illuminate,If there are any special features of the deck or architecture surrounding it plan to illuminate that for interest
visual,illuminate,The small solar panels collect light form the sun during the day and the light uses the power to illuminate the lighting element when darkness hits
visual,illuminate,Dramatic lighting like that provided by your typical chandelier isnt going to win any awards for its ability to illuminate your entree
visual,illuminate,If you wish to illuminate one area versus another change the focal point of the lighting in the room or create a custom light source for the room track lighting delivers
visual,illuminate,After that its a matter of bolting the track and connecting it to the canopy to illuminate your home room
visual,illuminate,When the unit is switched on the lights illuminate the pixels and allow playing in any light conditions
visual,illuminate,This is in stark contrast to the usual green LEDs that would illuminate to indicate the four different players connected to the system
visual,illuminate,At night the shimmering lights of Payson illuminate the ground from feet below and miles away
visual,illuminate,If so you may want to choose accessories that either help to illuminate that theme or compliment it
visual,illuminate,On the underside of the microwave are hood lights that illuminate the cooking surface below it as well as an exhaust fan
visual,illuminate,Through their line of candles they hope to decorate homes illuminate lives and celebrate spirits
visual,illuminate,Solar Christmas lights operate on the same basic principle as the solar lights that are often used in gardens and to illuminate driveways or sidewalks throughout the year
visual,illuminate,Unfortunately another scenario might be that you simply have too many weaknesses and character deficiencies and truly not enough good aspects to illuminateyet
visual,illuminate,Victoria is Queen gaslights illuminate the streets of London and the insertion of computational ability into the social structure has unintended consequences
visual,illuminate,There is hardly a name or a movement in the religious history of the century which he did not touch and illuminate
visual,illuminate,The alley light shone through the partially open door interrupting the darkness just enough to illuminate the frightened look on her face
visual,illuminate,The wall sconces which once would have held large torches to illuminate the space were empty
visual,illuminate,Ensure you have the correct wattage of bulb for the area you wish to illuminate
visual,illuminate,Adjust flash settings on the camera to properly illuminate the ring without blinding the picture with too much reflection from the diamond or gemstone
visual,illuminate,She opened the single wardrobe pushing the doors open enough for light to illuminate the contents
visual,illuminate,From Craig was in the north whither he had been sent to illuminate those dark places in Mar Buchan and Aberdeen
visual,illuminate,Illuminate a water feature flowerbed patio or deck with the convenience of Hampton Bay solar fixtures
visual,imagine,Can you imagine that?
visual,imagine,I can only imagine how difficult this is for you.
visual,imagine,You can't imagine how sore I am.
visual,imagine,I can't imagine what he was thinking to hide a thing like that from you.
visual,imagine,Imagine that you personally had to create everything you wanted to use.
visual,imagine,I can just imagine how much of that Howard would want to know.
visual,imagine,He could imagine her horror when she discovered what he planned.
visual,imagine,I imagine it would taste mighty good.
visual,imagine,Then imagine if you shared your Digital Echo with a billion other people on the planet.
visual,imagine,I can just imagine what a funny figure that policeman cut!
visual,imagine,"His laugh was low, and she could imagine his mocking expression."
visual,imagine,"He cannot imagine how very, very happy he will be when he can tell us his thoughts, and we can tell him how we have loved him so long."
visual,imagine,I couldn't imagine you'd take that long for a dog walk.
visual,imagine,"The winter's better here than Europe, I imagine, he said with a smile."
visual,imagine,I imagine because Howard sent him.
visual,imagine,"She avoided looking down, afraid to imagine just how deep the waters were or how far from shore they'd gone."
visual,imagine,Imagine you live in a large trailer park and you have four young children.
visual,imagine,I can't imagine why you wanted to keep him a secret.
visual,imagine,"I tried to imagine my gentle poet when he was a school-boy, and I wondered if it was in Andover he learned the songs of the birds and the secrets of the shy little woodland children."
visual,imagine,Can you imagine Fred not re-reading Twelve Angry Men and trying to memorize the dialog? he kidded.
visual,imagine,"Jakey was the sweetest little fellow you can imagine, but he was poor and blind."
visual,imagine,Imagine that every word you said was recorded by your personal recorder and automatically transcribed.
visual,imagine,"But I cannot imagine who made Mother Nature, can you?"
visual,imagine,Howie was out of town and I couldn't imagine anyone visiting him at that time of night.
visual,imagine,Can you imagine a world without poverty?
visual,imagine,"Mr. Jefferson let me touch his face so that I could imagine how he looked on waking from that strange sleep of twenty years, and he showed me how poor old Rip staggered to his feet."
visual,imagine,Dean could imagine the more as Jennifer continued.
visual,imagine,Then imagine them all instantly dead.
visual,imagine,I can't imagine that will go well for her.
visual,imagine,I couldn't even imagine him in a comma.
visual,imagine,I imagine she has been rather roughly handled sometimes by her little mistress.
visual,imagine,"Today, it is hard for us to imagine what that time was like."
visual,imagine,Wynn didn't want to imagine what Darkyn did to the sweet girl he left behind in Hell.
visual,imagine,Most people haven't even tried because we cannot reasonably imagine a way by which we can be rid of them.
visual,imagine,I can't imagine why you chose Allen instead.
visual,imagine,"She'd never seen a man so strong, and she couldn't imagine talking to him without remembering how beautiful that body was."
visual,imagine,"But don't imagine that she ""talks fluently."""
visual,imagine,"It was difficult to imagine that someone would think they couldn't talk when they actually could, but the mind did strange things during duress."
visual,imagine,"If , , is still an inconceivably large number: Imagine a football stadium packed with spectators."
visual,imagine,Imagine what can be culled from this data.
visual,imagine,"I did not imagine, when I studied about the forests of Maine, that a strong and beautiful ship would go sailing all over the world, carrying wood from those rich forests, to build pleasant homes and schools and churches in distant countries."
visual,imagine,"I imagine what you have gone through, and she sympathetically turned up her eyes."
visual,imagine,Imagine the stories that must lurk in the walls of this house.
visual,imagine,"But no, he could not imagine that."
visual,imagine,I can't imagine the impact of both on him when one is more than enough.
visual,imagine,It didn't take much for her to imagine what the body beneath the tight shirt was like.
visual,imagine,My Dear Mr. Anagnos:--You cannot imagine how delighted I was to receive a letter from you last evening.
visual,imagine,"I can only imagine other uses you might have embraced, for personal financial enhancement."
visual,imagine,"But imagine the difference if the world had ten billion healthy, well-educated people!"
visual,imagine,It is evident that something has displeased his Majesty but I cannot imagine what it can be.
visual,imagine,I can't imagine not seeing her or holding little Claire again.
visual,imagine,"Imagine a computer culling through this massive amount of data, inconceivably large, and pulling out patterns."
visual,imagine,She didn't want to imagine what her father was capable of.
visual,imagine,I can't imagine them missing her Aunt Rose Abbott's service or at least calling in with their status.
visual,imagine,"Imagine a thousand new arts, none of which are even invented yet, each with a thousand new great masters."
visual,imagine,"Then imagine GPS is layered in—very accurate GPS that tracks your every move, even in your own home."
visual,imagine,Imagine what you could do with the combined learning of a quadrillion life experiences.
visual,imagine,I can't imagine why he didn't tell us his friend was a pretty girl.
visual,imagine,"I imagine if you had that ability, Darkyn would've discovered it."
visual,imagine,"I cannot imagine, I'm sure, answered the Wizard, also peering about."
visual,imagine,Imagine they also included their genetic mapping as well as every single thing they did in their daily lives.
visual,imagine,"I imagine she figures if she gets Destiny, she'll get the farm and the insurance money."
visual,imagine,Imagine it is all recorded.
visual,imagine,"Next, imagine that happening every week for one hundred years."
visual,imagine,Imagine being Jenner and not even knowing you were dealing with microbes.
visual,imagine,For people accustomed to think that plans of campaign and battles are made by generals--as any one of us sitting over a map in his study may imagine how he would have arranged things in this or that battle--the questions present themselves: Why did Kutuzov during the retreat not do this or that?
visual,imagine,"Oh, Dorothy--you can't imagine what horrid things they are!"
visual,imagine,"Next, imagine everything you do is remembered in detail."
visual,imagine,For instance: Imagine all people with skin cancer voluntarily shared their Digital Echo files on an anonymous basis.
visual,imagine,"No, but imagine the old Countess Zubova, with false curls and her mouth full of false teeth, as if she were trying to cheat old age...."
visual,imagine,Don't imagine that sorrow is the work of men.
visual,imagine,You can't imagine how grateful Alex and I are to you for letting us adopt her.
visual,imagine,It is natural for a man who does not understand the workings of a machine to imagine that a shaving that has fallen into it by chance and is interfering with its action and tossing about in it is its most important part.
visual,imagine,So you can well imagine how strong and brown I am....
visual,imagine,"So you may imagine that we look quite like peacocks, only we've no trains...."
visual,imagine,One can imagine two children each with a bag of jelly beans.
visual,imagine,"Imagine, he's even considering playing this game, and in some foreign country!"
visual,imagine,Let us imagine two men who have come out to fight a duel with rapiers according to all the rules of the art of fencing.
visual,imagine,One can imagine what confusion and obscurity would result from such an account of the duel.
visual,imagine,She was gazing where she knew him to be; but she could not imagine him otherwise than as he had been here.
visual,imagine,Just imagine--I knew nothing about him! said he.
visual,imagine,Everybody seems to imagine that being taken prisoner means being Napoleon's guest.
visual,imagine,I can imagine how he'd react.
visual,imagine,I imagine only Pierre is on it now.
visual,imagine,"I imagine she'd have kept trying if the line was busy, Dean answered."
visual,imagine,I can't imagine why he would think I wouldn't approve.
visual,imagine,Imagine a world where everyone on the planet has access to this expanded canvas of human expression that technology has created.
visual,imagine,Imagine it has a million elements in it.
visual,imagine,Imagine what we can do in the future with a thousand times more technological advancement.
visual,imagine,Why is it hard to imagine eternity? said Natasha.
visual,imagine,To be able to go a thousand miles he must imagine that something good awaits him at the end of those thousand miles.
visual,imagine,But above all Denisov must not dare to imagine that I'll obey him and that he can order me about.
visual,imagine,"But in the Crusades we already see an event occupying its definite place in history and without which we cannot imagine the modern history of Europe, though to the chroniclers of the Crusades that event appeared as merely due to the will of certain people."
visual,imagine,"Essentially, we will be able to run as many controlled experiments as we can imagine instantly and for no cost—and that will revolutionize medicine."
visual,imagine,"Imagine if everyone frequently disputed charges: ""I never got my order!"" or ""It wasn't what they promised it would be!"" or ""Yeah, I got a box in the mail, but it was full of rocks."""
visual,imagine,Imagine when a five-cent computer in your shoe warns you that the way you are walking will lead to spine problems.
visual,imagine,"Instead of reading words on a page and trying to imagine a concept, we can see it, as the old expression goes, in Technicolor."
visual,imagine,"We may imagine a time when, in the infancy of the human race, some enterprising mortal crept into a hollow in a rock for shelter."
visual,imagine,"Since the campaigns of Austerlitz and of Rostov knew by experience that men always lie when describing military exploits, as he himself had done when recounting them; besides that, he had experience enough to know that nothing happens in war at all as we can imagine or relate it."
visual,imagine,You cannot begin to imagine how long I've waited for this night and what I've done to make sure it happens as it must.
visual,imagine,"Heaven only knows what the people here may imagine, muttered Telyanin, taking up his cap and moving toward a small empty room."
visual,imagine,"And she not only saw no need of any other or better husband, but as all the powers of her soul were intent on serving that husband and family, she could not imagine and saw no interest in imagining how it would be if things were different."
visual,imagine,Imagine what I could tell him about you.
visual,imagine,"We imagine that when we are thrown out of our usual ruts all is lost, but it is only then that what is new and good begins."
visual,imagine,"Considering her own feelings about Alex, and the fact that he was a lot like his father, it wasn't hard to imagine that his mother never got over Señor Medena."
visual,imagine,I can imagine why she wanted you to tell me.
visual,imagine,"I can't imagine you came here to watch me beat the shit out of a punching bag, she said and took a long swig of water."
visual,imagine,It was hard to imagine something that fed off depravity wanted peace.
visual,imagine,"I never had children myself, so I can only imagine your grief."
visual,imagine,"The notion of scarcity is so ingrained in us and so permeates the world today, it is difficult to imagine a world without it."
visual,imagine,"First, imagine all the jobs they could do inside us."
visual,imagine,"Unless one can somehow imagine NATO countries going to war with each other, such as Belgium invading the United Kingdom, it is hard to see how ""world wars"" could escalate outside of NATO member countries."
visual,imagine,Imagine if today everyone spoke one language and I said that in the future we will speak hundreds of different languages and not be able to understand each other.
visual,imagine,"The activity of a commander-in-chief does not at all resemble the activity we imagine to ourselves when we sit at ease in our studies examining some campaign on the map, with a certain number of troops on this and that side in a certain known locality, and begin our plans from some given moment."
visual,imagine,"You can yourself imagine the effect this news has had on me, and your silence increases my astonishment."
visual,imagine,You can't imagine how I've missed the country.
visual,imagine,"I imagine it helps being around people, I answered."
visual,imagine,"He couldn't imagine any childhood taunting that would have caused him to crawl into the earth through a cold, wet, and black hole."
visual,imagine,I imagine she will have fun with the little toy man.
visual,imagine,"He began to cry, the soul-deep weeping of a man who'd lost all and spent his tormented life in a level of hell she'd never be able to imagine."
visual,imagine,"She couldn't imagine an upbringing with no parents, a clan of brothers who hated him, and no ability to change his nature."
visual,imagine,"I imagine it's the same with Xander, Sofi added."
visual,imagine,You would have to have good eyesight I would imagine.
visual,imagine,imagine ever meeting anyone else.
visual,imagine,imagine who would play them.
visual,imagine,She's done more for you than you can possibly imagine!
visual,imagine,I imagine an eternity of punishment as only the Dark One can devise.
visual,imagine,"Carmen, I can't imagine anything you need to know."
visual,imagine,"Well then, imagine why I would want to know – and then pretend like it matters."
visual,imagine,"Deidre closed her eyes and rested against him, trying to imagine what the last days of her life would be like."
visual,imagine,It was hard to imagine she had a tumor in her brain the half the size of her fist.
visual,imagine,His strength was the kind she could almost imagine herself melting into.
visual,imagine,It would be difficult and even impossible to imagine any result more opportune than the actual outcome of this battle.
visual,imagine,"I don't know when I began to love her, but I have loved her and her alone all my life, and I love her so that I cannot imagine life without her."
visual,imagine,"Platon Karataev? he repeated, and pondered, evidently sincerely trying to imagine Karataev's opinion on the subject."
visual,imagine,"To conceive of a man being free we must imagine him outside space, which is evidently impossible."
visual,imagine,"To imagine it as free, it is necessary to imagine it in the present, on the boundary between the past and the future--that is, outside time, which is impossible."
visual,imagine,In the same way we can never imagine the action of a man quite devoid of freedom and entirely subject to the law of inevitability.
visual,imagine,I can't imagine how Allen knew.
visual,imagine,I can't even imagine it at her age.
visual,imagine,I imagine they change packaging.
visual,imagine,"The familiar warmth, his intensity -- both lit her blood afire, and she couldn't help but imagine what his hot, talented tongue could do to other parts of her body."
